class_id,x_center,y_center,width,height,file_name,row_index,image_path,label_path,mask_path,warm_color_binary,train_test_validation
55,0.861833,0.146889,0.273000,0.291111,101,4,101.jpg,101.txt,101*4*55.png,1,1
55,0.918667,0.433111,0.162667,0.429778,101,5,101.jpg,101.txt,101*5*55.png,1,1
55,0.217000,0.131556,0.432667,0.262222,101,6,101.jpg,101.txt,101*6*55.png,1,1
55,0.659375,0.129335,0.153750,0.204311,102,1,102.jpg,102.txt,102*1*55.png,1,0
55,0.798750,0.142924,0.142500,0.195876,102,2,102.jpg,102.txt,102*2*55.png,1,0
55,0.719375,0.313964,0.142500,0.204311,102,3,102.jpg,102.txt,102*3*55.png,1,0
55,0.867500,0.316776,0.146250,0.208060,102,4,102.jpg,102.txt,102*4*55.png,1,0
55,0.635938,0.484536,0.144375,0.223055,102,5,102.jpg,102.txt,102*5*55.png,1,0
55,0.786250,0.490628,0.138750,0.194002,102,6,102.jpg,102.txt,102*6*55.png,1,0
55,0.923750,0.507498,0.136250,0.201500,102,7,102.jpg,102.txt,102*7*55.png,1,0
55,0.448750,0.311153,0.147500,0.191190,102,8,102.jpg,102.txt,102*8*55.png,1,0
55,0.575937,0.296157,0.128125,0.185567,102,9,102.jpg,102.txt,102*9*55.png,1,0
55,0.499688,0.487348,0.130625,0.183693,102,10,102.jpg,102.txt,102*10*55.png,1,0
55,0.373437,0.486410,0.130625,0.193065,102,11,102.jpg,102.txt,102*11*55.png,1,0
55,0.236250,0.477507,0.141250,0.182755,102,12,102.jpg,102.txt,102*12*55.png,1,0
55,0.309063,0.310216,0.145625,0.194939,102,13,102.jpg,102.txt,102*13*55.png,1,0
55,0.172500,0.291940,0.140000,0.205248,102,14,102.jpg,102.txt,102*14*55.png,1,0
55,0.160625,0.635426,0.142500,0.200562,102,15,102.jpg,102.txt,102*15*55.png,1,0
55,0.287500,0.660262,0.132500,0.197751,102,16,102.jpg,102.txt,102*16*55.png,1,0
55,0.419375,0.664480,0.146250,0.208060,102,17,102.jpg,102.txt,102*17*55.png,1,0
55,0.558438,0.670572,0.134375,0.205248,102,18,102.jpg,102.txt,102*18*55.png,1,0
55,0.352812,0.838800,0.138125,0.198688,102,19,102.jpg,102.txt,102*19*55.png,1,0
55,0.252812,0.134489,0.139375,0.197751,102,20,102.jpg,102.txt,102*20*55.png,1,0
55,0.378750,0.137301,0.130000,0.192127,102,21,102.jpg,102.txt,102*21*55.png,1,0
55,0.122813,0.119025,0.134375,0.193065,102,22,102.jpg,102.txt,102*22*55.png,1,0
55,0.059375,0.279288,0.113750,0.202437,102,23,102.jpg,102.txt,102*23*55.png,1,0
55,0.098437,0.464855,0.138125,0.206186,102,24,102.jpg,102.txt,102*24*55.png,1,0
55,0.625313,0.837863,0.141875,0.219306,102,25,102.jpg,102.txt,102*25*55.png,1,0
55,0.486250,0.835052,0.135000,0.200562,102,26,102.jpg,102.txt,102*26*55.png,1,0
55,0.098437,0.801781,0.126875,0.199625,102,27,102.jpg,102.txt,102*27*55.png,1,0
55,0.223750,0.818650,0.137500,0.210872,102,28,102.jpg,102.txt,102*28*55.png,1,0
55,0.956250,0.709466,0.087500,0.206186,102,29,102.jpg,102.txt,102*29*55.png,1,0
55,0.892813,0.876289,0.140625,0.179944,102,30,102.jpg,102.txt,102*30*55.png,1,0
55,0.756250,0.862699,0.135000,0.179007,102,31,102.jpg,102.txt,102*31*55.png,1,0
55,0.049375,0.624649,0.093750,0.180881,102,32,102.jpg,102.txt,102*32*55.png,1,0
55,0.152812,0.937676,0.129375,0.124649,102,33,102.jpg,102.txt,102*33*55.png,1,0
55,0.280938,0.948922,0.129375,0.102156,102,34,102.jpg,102.txt,102*34*55.png,1,0
55,0.410625,0.952671,0.137500,0.094658,102,35,102.jpg,102.txt,102*35*55.png,1,0
55,0.543438,0.955483,0.123125,0.089035,102,36,102.jpg,102.txt,102*36*55.png,1,0
55,0.517813,0.138238,0.138125,0.179007,102,37,102.jpg,102.txt,102*37*55.png,1,0
1,0.299805,0.725360,0.564453,0.549280,1027421032_e5ffc6eeb1_b,1,1027421032_e5ffc6eeb1_b.jpg,1027421032_e5ffc6eeb1_b.txt,None,0,2
1,0.447754,0.325581,0.573242,0.648948,1027421032_e5ffc6eeb1_b,2,1027421032_e5ffc6eeb1_b.jpg,1027421032_e5ffc6eeb1_b.txt,None,0,2
55,0.213996,0.645833,0.326572,0.337500,103,1,103.jpg,103.txt,103*1*55.png,1,1
55,0.539554,0.718750,0.300203,0.333333,103,2,103.jpg,103.txt,103*2*55.png,1,1
55,0.779919,0.694792,0.245436,0.293750,103,3,103.jpg,103.txt,103*3*55.png,1,1
55,0.391481,0.512500,0.279919,0.308333,103,4,103.jpg,103.txt,103*4*55.png,1,1
55,0.702840,0.492708,0.326572,0.256250,103,5,103.jpg,103.txt,103*5*55.png,1,1
55,0.286000,0.432927,0.288000,0.493902,104,1,104.jpg,104.txt,104*1*55.png,1,0
55,0.594000,0.467988,0.348000,0.356707,104,2,104.jpg,104.txt,104*2*55.png,1,0
55,0.871000,0.344512,0.258000,0.463415,104,3,104.jpg,104.txt,104*3*55.png,1,0
55,0.645000,0.806402,0.402000,0.387195,104,4,104.jpg,104.txt,104*4*55.png,1,0
55,0.143000,0.777439,0.282000,0.445122,104,5,104.jpg,104.txt,104*5*55.png,1,0
55,0.468000,0.184451,0.352000,0.362805,104,6,104.jpg,104.txt,104*6*55.png,1,0
55,0.770000,0.111280,0.348000,0.210366,104,7,104.jpg,104.txt,104*7*55.png,1,0
55,0.162000,0.123476,0.320000,0.240854,104,8,104.jpg,104.txt,104*8*55.png,1,0
55,0.086000,0.416159,0.164000,0.338415,104,9,104.jpg,104.txt,104*9*55.png,1,0
55,0.917000,0.760671,0.146000,0.478659,104,10,104.jpg,104.txt,104*10*55.png,1,0
2,0.392177,0.555099,0.580272,0.732566,10452575543_f83ed4005b_o,1,10452575543_f83ed4005b_o.jpg,10452575543_f83ed4005b_o.txt,10452575543_f83ed4005b_o*1*2.png,1,0
55,0.354321,0.631019,0.524691,0.730556,105,1,105.jpg,105.txt,105*1*55.png,1,0
55,0.624383,0.312037,0.536420,0.614815,105,2,105.jpg,105.txt,105*2*55.png,1,0
55,0.750926,0.798611,0.491975,0.402778,105,3,105.jpg,105.txt,105*3*55.png,1,0
55,0.256173,0.089352,0.443210,0.175000,105,4,105.jpg,105.txt,105*4*55.png,1,0
55,0.100617,0.376389,0.196296,0.715741,105,5,105.jpg,105.txt,105*5*55.png,1,0
55,0.936420,0.400926,0.127160,0.637037,105,6,105.jpg,105.txt,105*6*55.png,1,0
55,0.550000,0.461667,0.560000,0.716667,106,1,106.jpg,106.txt,106*1*55.png,1,0
55,0.178125,0.731250,0.355000,0.537500,106,2,106.jpg,106.txt,106*2*55.png,1,0
55,0.094375,0.228750,0.187500,0.452500,106,3,106.jpg,106.txt,106*3*55.png,1,0
55,0.924687,0.893333,0.150625,0.203333,106,4,106.jpg,106.txt,106*4*55.png,1,0
55,0.872188,0.059167,0.255625,0.116667,106,5,106.jpg,106.txt,106*5*55.png,1,0
55,0.271285,0.371783,0.541022,0.681066,107,1,107.jpg,107.txt,107*1*55.png,1,0
55,0.509675,0.661305,0.748452,0.554228,107,2,107.jpg,107.txt,107*2*55.png,1,0
55,0.716331,0.326746,0.533282,0.651654,107,3,107.jpg,107.txt,107*3*55.png,1,0
2,0.670075,0.735435,0.122889,0.173375,10736129126_7b840f763a_o,1,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*1*2.png,1,2
2,0.834053,0.721081,0.096623,0.152547,10736129126_7b840f763a_o,2,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*2*2.png,1,2
2,0.667355,0.363918,0.090807,0.094005,10736129126_7b840f763a_o,3,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*3*2.png,1,2
2,0.297373,0.529975,0.078799,0.114833,10736129126_7b840f763a_o,4,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*4*2.png,1,2
2,0.356191,0.709823,0.093996,0.158176,10736129126_7b840f763a_o,5,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*5*2.png,1,2
2,0.258537,0.739657,0.084428,0.140726,10736129126_7b840f763a_o,6,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*6*2.png,1,2
2,0.551126,0.262736,0.095122,0.090909,10736129126_7b840f763a_o,7,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*7*2.png,1,2
2,0.416323,0.249085,0.082927,0.089502,10736129126_7b840f763a_o,8,10736129126_7b840f763a_o.jpg,10736129126_7b840f763a_o.txt,10736129126_7b840f763a_o*8*2.png,1,2
55,0.395020,0.313151,0.388672,0.490885,108,1,108.jpg,108.txt,108*1*55.png,1,2
55,0.687500,0.563802,0.354492,0.427083,108,2,108.jpg,108.txt,108*2*55.png,1,2
55,0.704834,0.874349,0.452637,0.251302,108,3,108.jpg,108.txt,108*3*55.png,1,2
55,0.289307,0.895508,0.381348,0.208984,108,4,108.jpg,108.txt,108*4*55.png,1,2
55,0.866699,0.245768,0.266602,0.483724,108,5,108.jpg,108.txt,108*5*55.png,1,2
55,0.137207,0.511719,0.270508,0.467448,108,6,108.jpg,108.txt,108*6*55.png,1,2
55,0.381836,0.694661,0.298828,0.321615,108,7,108.jpg,108.txt,108*7*55.png,1,2
55,0.610352,0.203776,0.275391,0.351562,108,8,108.jpg,108.txt,108*8*55.png,1,2
55,0.060791,0.167969,0.120605,0.334635,108,9,108.jpg,108.txt,108*9*55.png,1,2
55,0.072754,0.909505,0.139648,0.180990,108,10,108.jpg,108.txt,108*10*55.png,1,2
55,0.695833,0.694286,0.397619,0.567619,109,1,109.jpg,109.txt,109*1*55.png,1,0
55,0.361012,0.781905,0.422024,0.436190,109,2,109.jpg,109.txt,109*2*55.png,1,0
55,0.682440,0.233810,0.431548,0.460000,109,3,109.jpg,109.txt,109*3*55.png,1,0
55,0.343155,0.274286,0.338690,0.540952,109,4,109.jpg,109.txt,109*4*55.png,1,0
55,0.930060,0.301429,0.139881,0.587619,109,5,109.jpg,109.txt,109*5*55.png,1,0
55,0.902083,0.783333,0.195833,0.425714,109,6,109.jpg,109.txt,109*6*55.png,1,0
55,0.104167,0.282381,0.207143,0.560952,109,7,109.jpg,109.txt,109*7*55.png,1,0
5,0.361875,0.531895,0.483750,0.741088,11,1,11.jpg,11.txt,11*1*5.png,1,1
5,0.705000,0.388368,0.457500,0.645403,11,2,11.jpg,11.txt,11*2*5.png,1,1
55,0.268605,0.406667,0.462791,0.713333,110,1,110.jpg,110.txt,110*1*55.png,1,0
55,0.643023,0.528333,0.606977,0.870000,110,2,110.jpg,110.txt,110*2*55.png,1,0
55,0.344792,0.659583,0.360417,0.572500,111,1,111.jpg,111.txt,111*1*55.png,1,0
55,0.630208,0.790000,0.346875,0.365000,111,2,111.jpg,111.txt,111*2*55.png,1,0
55,0.652865,0.468333,0.348438,0.480000,111,3,111.jpg,111.txt,111*3*55.png,1,0
55,0.333594,0.346667,0.329688,0.343333,111,4,111.jpg,111.txt,111*4*55.png,1,0
55,0.452632,0.536415,0.475789,0.613445,112,1,112.jpg,112.txt,112*1*55.png,1,1
55,0.792632,0.508403,0.317895,0.501401,112,2,112.jpg,112.txt,112*2*55.png,1,1
55,0.213684,0.456583,0.292632,0.414566,112,3,112.jpg,112.txt,112*3*55.png,1,1
35,0.470000,0.471667,0.430000,0.523333,112684779_a2c50c31c6_o,1,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.163750,0.281667,0.322500,0.556667,112684779_a2c50c31c6_o,2,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.730000,0.101667,0.525000,0.196667,112684779_a2c50c31c6_o,3,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.705000,0.405000,0.210000,0.230000,112684779_a2c50c31c6_o,4,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.858750,0.551667,0.237500,0.376667,112684779_a2c50c31c6_o,5,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.737500,0.841667,0.260000,0.316667,112684779_a2c50c31c6_o,6,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.208750,0.668333,0.232500,0.290000,112684779_a2c50c31c6_o,7,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.516250,0.865000,0.207500,0.183333,112684779_a2c50c31c6_o,8,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.052500,0.703333,0.100000,0.460000,112684779_a2c50c31c6_o,9,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.401250,0.076667,0.157500,0.146667,112684779_a2c50c31c6_o,10,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.930000,0.846667,0.140000,0.306667,112684779_a2c50c31c6_o,11,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
35,0.257500,0.905000,0.310000,0.183333,112684779_a2c50c31c6_o,12,112684779_a2c50c31c6_o.jpg,112684779_a2c50c31c6_o.txt,None,0,0
55,0.470833,0.388889,0.155000,0.191111,113,1,113.jpg,113.txt,113*1*55.png,1,0
55,0.333333,0.406667,0.133333,0.182222,113,2,113.jpg,113.txt,113*2*55.png,1,0
55,0.187500,0.414444,0.158333,0.184444,113,3,113.jpg,113.txt,113*3*55.png,1,0
55,0.665000,0.232222,0.143333,0.175556,113,4,113.jpg,113.txt,113*4*55.png,1,0
55,0.533333,0.232222,0.133333,0.175556,113,5,113.jpg,113.txt,113*5*55.png,1,0
55,0.609167,0.382222,0.138333,0.177778,113,6,113.jpg,113.txt,113*6*55.png,1,0
55,0.535000,0.540000,0.146667,0.200000,113,7,113.jpg,113.txt,113*7*55.png,1,0
55,0.673333,0.535556,0.136667,0.204444,113,8,113.jpg,113.txt,113*8*55.png,1,0
55,0.931667,0.514444,0.133333,0.193333,113,9,113.jpg,113.txt,113*9*55.png,1,0
55,0.875833,0.656667,0.148333,0.175556,113,10,113.jpg,113.txt,113*10*55.png,1,0
55,0.747500,0.687778,0.141667,0.166667,113,11,113.jpg,113.txt,113*11*55.png,1,0
55,0.686667,0.842222,0.146667,0.177778,113,12,113.jpg,113.txt,113*12*55.png,1,0
55,0.828333,0.830000,0.143333,0.180000,113,13,113.jpg,113.txt,113*13*55.png,1,0
55,0.407500,0.855556,0.155000,0.177778,113,14,113.jpg,113.txt,113*14*55.png,1,0
55,0.269167,0.880000,0.161667,0.182222,113,15,113.jpg,113.txt,113*15*55.png,1,0
55,0.191667,0.715556,0.156667,0.177778,113,16,113.jpg,113.txt,113*16*55.png,1,0
55,0.262500,0.564444,0.148333,0.173333,113,17,113.jpg,113.txt,113*17*55.png,1,0
55,0.110000,0.563333,0.146667,0.180000,113,18,113.jpg,113.txt,113*18*55.png,1,0
55,0.189167,0.113333,0.148333,0.182222,113,19,113.jpg,113.txt,113*19*55.png,1,0
55,0.259167,0.250000,0.145000,0.171111,113,20,113.jpg,113.txt,113*20*55.png,1,0
55,0.401667,0.235556,0.130000,0.173333,113,21,113.jpg,113.txt,113*21*55.png,1,0
55,0.791667,0.223333,0.130000,0.171111,113,22,113.jpg,113.txt,113*22*55.png,1,0
55,0.917500,0.224444,0.121667,0.160000,113,23,113.jpg,113.txt,113*23*55.png,1,0
55,0.737500,0.372222,0.131667,0.175556,113,24,113.jpg,113.txt,113*24*55.png,1,0
55,0.870000,0.368889,0.130000,0.173333,113,25,113.jpg,113.txt,113*25*55.png,1,0
55,0.947500,0.092222,0.105000,0.148889,113,26,113.jpg,113.txt,113*26*55.png,1,0
55,0.841667,0.083333,0.123333,0.140000,113,27,113.jpg,113.txt,113*27*55.png,1,0
55,0.714167,0.086667,0.138333,0.155556,113,28,113.jpg,113.txt,113*28*55.png,1,0
55,0.589167,0.085556,0.128333,0.140000,113,29,113.jpg,113.txt,113*29*55.png,1,0
55,0.458333,0.088889,0.136667,0.142222,113,30,113.jpg,113.txt,113*30*55.png,1,0
55,0.331667,0.101111,0.130000,0.162222,113,31,113.jpg,113.txt,113*31*55.png,1,0
55,0.062500,0.112222,0.121667,0.184444,113,32,113.jpg,113.txt,113*32*55.png,1,0
55,0.121667,0.260000,0.143333,0.173333,113,33,113.jpg,113.txt,113*33*55.png,1,0
55,0.055833,0.411111,0.108333,0.186667,113,34,113.jpg,113.txt,113*34*55.png,1,0
55,0.062500,0.735556,0.118333,0.191111,113,35,113.jpg,113.txt,113*35*55.png,1,0
55,0.336667,0.715556,0.140000,0.168889,113,36,113.jpg,113.txt,113*36*55.png,1,0
55,0.475833,0.698889,0.131667,0.162222,113,37,113.jpg,113.txt,113*37*55.png,1,0
55,0.610000,0.698889,0.136667,0.171111,113,38,113.jpg,113.txt,113*38*55.png,1,0
55,0.945000,0.810000,0.110000,0.188889,113,39,113.jpg,113.txt,113*39*55.png,1,0
55,0.550000,0.860000,0.156667,0.168889,113,40,113.jpg,113.txt,113*40*55.png,1,0
55,0.120833,0.888889,0.151667,0.146667,113,41,113.jpg,113.txt,113*41*55.png,1,0
55,0.406250,0.427083,0.418750,0.529167,114,1,114.jpg,114.txt,114*1*55.png,1,0
55,0.757812,0.536458,0.331250,0.447917,114,2,114.jpg,114.txt,114*2*55.png,1,0
55,0.834375,0.204167,0.300000,0.387500,114,3,114.jpg,114.txt,114*3*55.png,1,0
55,0.550000,0.192708,0.325000,0.347917,114,4,114.jpg,114.txt,114*4*55.png,1,0
55,0.457031,0.850000,0.410938,0.300000,114,5,114.jpg,114.txt,114*5*55.png,1,0
55,0.778906,0.870833,0.307812,0.258333,114,6,114.jpg,114.txt,114*6*55.png,1,0
55,0.148438,0.717708,0.293750,0.489583,114,7,114.jpg,114.txt,114*7*55.png,1,0
55,0.089063,0.355208,0.175000,0.297917,114,8,114.jpg,114.txt,114*8*55.png,1,0
55,0.357812,0.087500,0.303125,0.170833,114,9,114.jpg,114.txt,114*9*55.png,1,0
55,0.120313,0.170833,0.225000,0.187500,114,10,114.jpg,114.txt,114*10*55.png,1,0
55,0.544173,0.330833,0.310150,0.281667,115,1,115.jpg,115.txt,115*1*55.png,1,2
55,0.484023,0.735000,0.366541,0.320000,115,2,115.jpg,115.txt,115*2*55.png,1,2
55,0.834586,0.745833,0.330827,0.308333,115,3,115.jpg,115.txt,115*3*55.png,1,2
55,0.190789,0.685000,0.283835,0.296667,115,4,115.jpg,115.txt,115*4*55.png,1,2
55,0.265038,0.322500,0.281955,0.258333,115,5,115.jpg,115.txt,115*5*55.png,1,2
55,0.845865,0.320000,0.293233,0.290000,115,6,115.jpg,115.txt,115*6*55.png,1,2
55,0.764098,0.546667,0.310150,0.183333,115,7,115.jpg,115.txt,115*7*55.png,1,2
55,0.430451,0.515000,0.349624,0.186667,115,8,115.jpg,115.txt,115*8*55.png,1,2
55,0.628759,0.153333,0.298872,0.153333,115,9,115.jpg,115.txt,115*9*55.png,1,2
55,0.372500,0.417339,0.330000,0.536290,116,1,116.jpg,116.txt,116*1*55.png,1,0
55,0.698750,0.471774,0.417500,0.766129,116,2,116.jpg,116.txt,116*2*55.png,1,0
33,0.335938,0.619629,0.468750,0.129883,1166250243_0062ea0db0_b,1,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.594401,0.360352,0.204427,0.310547,1166250243_0062ea0db0_b,2,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.324870,0.190430,0.402344,0.144531,1166250243_0062ea0db0_b,3,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.377604,0.291016,0.286458,0.130859,1166250243_0062ea0db0_b,4,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.372396,0.384766,0.291667,0.109375,1166250243_0062ea0db0_b,5,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.200521,0.406250,0.216146,0.187500,1166250243_0062ea0db0_b,6,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.771484,0.324219,0.246094,0.244141,1166250243_0062ea0db0_b,7,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.662760,0.833008,0.411458,0.130859,1166250243_0062ea0db0_b,8,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.267578,0.833008,0.194010,0.275391,1166250243_0062ea0db0_b,9,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.143880,0.791016,0.204427,0.236328,1166250243_0062ea0db0_b,10,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.062500,0.876465,0.119792,0.176758,1166250243_0062ea0db0_b,11,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.455078,0.900391,0.248698,0.128906,1166250243_0062ea0db0_b,12,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.716146,0.933594,0.244792,0.097656,1166250243_0062ea0db0_b,13,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.888672,0.891602,0.191406,0.207031,1166250243_0062ea0db0_b,14,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.612630,0.707520,0.287760,0.161133,1166250243_0062ea0db0_b,15,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.798177,0.621094,0.187500,0.095703,1166250243_0062ea0db0_b,16,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.761068,0.725586,0.162760,0.125000,1166250243_0062ea0db0_b,17,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.062500,0.178223,0.114583,0.114258,1166250243_0062ea0db0_b,18,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
33,0.151042,0.291016,0.281250,0.113281,1166250243_0062ea0db0_b,19,1166250243_0062ea0db0_b.jpg,1166250243_0062ea0db0_b.txt,None,0,0
55,0.717969,0.339583,0.467187,0.591667,117,1,117.jpg,117.txt,117*1*55.png,1,0
55,0.614062,0.811458,0.493750,0.377083,117,2,117.jpg,117.txt,117*2*55.png,1,0
55,0.249219,0.308333,0.445312,0.575000,117,3,117.jpg,117.txt,117*3*55.png,1,0
55,0.181250,0.787500,0.359375,0.425000,117,4,117.jpg,117.txt,117*4*55.png,1,0
55,0.469709,0.386513,0.598958,0.762061,118,1,118.jpg,118.txt,118*1*55.png,1,0
55,0.328125,0.867690,0.625548,0.264620,118,2,118.jpg,118.txt,118*2*55.png,1,0
55,0.835526,0.776864,0.322917,0.446272,118,3,118.jpg,118.txt,118*3*55.png,1,0
55,0.094435,0.555190,0.182292,0.600877,118,4,118.jpg,118.txt,118*4*55.png,1,0
55,0.881031,0.428180,0.237939,0.368787,118,5,118.jpg,118.txt,118*5*55.png,1,0
55,0.392500,0.740132,0.530000,0.480263,119,1,119.jpg,119.txt,119*1*55.png,1,0
55,0.291250,0.351974,0.517500,0.657895,119,2,119.jpg,119.txt,119*2*55.png,1,0
55,0.747500,0.490132,0.455000,0.723684,119,3,119.jpg,119.txt,119*3*55.png,1,0
5,0.409690,0.476875,0.232361,0.248750,12,1,12.jpg,12.txt,12*1*5.png,1,0
5,0.842427,0.485000,0.192850,0.212500,12,2,12.jpg,12.txt,12*2*5.png,1,0
5,0.898871,0.295000,0.198495,0.217500,12,3,12.jpg,12.txt,12*3*5.png,1,0
5,0.508937,0.788125,0.222013,0.218750,12,4,12.jpg,12.txt,12*4*5.png,1,0
5,0.904986,0.850000,0.182502,0.300000,12,5,12.jpg,12.txt,12*5*5.png,1,0
5,0.244120,0.771250,0.224835,0.280000,12,6,12.jpg,12.txt,12*6*5.png,1,0
5,0.136877,0.594375,0.196613,0.251250,12,7,12.jpg,12.txt,12*7*5.png,1,0
5,0.588899,0.590625,0.152399,0.216250,12,8,12.jpg,12.txt,12*8*5.png,1,0
5,0.460960,0.287500,0.165569,0.222500,12,9,12.jpg,12.txt,12*9*5.png,1,0
5,0.653340,0.053750,0.221072,0.105000,12,10,12.jpg,12.txt,12*10*5.png,1,0
5,0.269050,0.128750,0.182502,0.157500,12,11,12.jpg,12.txt,12*11*5.png,1,0
